county,fips,totalpop
Charles,24,157671
Dorchester,24,32261
Frederick,24,248472
Garrett,24,29376
Harford,24,251025
Howard,24,315327
Kent,24,19593
Montgomery,24,1040133
Prince George's,24,906202
Queen Anne's,24,49355
St. Mary's,24,111531
Somerset,24,25737
Talbot,24,37211
Washington,24,149811
Wicomico,24,102172
Worcester,24,51564
Baltimore,24,614700
Barnstable,25,213690
Berkshire,25,127328
Bristol,25,558905
Dukes,25,17313
Essex,25,781024
Franklin,25,70935
Hampden,25,469116
Hampshire,25,161159
Middlesex,25,1595192
Nantucket,25,11101
Norfolk,25,698249
Plymouth,25,512135
Suffolk,25,791766
Worcester,25,822280
Alcona,26,10364
Alger,26,9194
Allegan,26,115250
Alpena,26,28612
Antrim,26,23177
Arenac,26,15165
Baraga,26,8507
Barry,26,60057
Bay,26,104786
Benzie,26,17552
Berrien,26,154807
Branch,26,43584
Calhoun,26,134473
Cass,26,51460
Charlevoix,26,26219
Cheboygan,26,25458
Chippewa,26,37834
Clare,26,30616
Clinton,26,77896
Crawford,26,13836
Delta,26,36190
Dickinson,26,25570
Eaton,26,109155
Emmet,26,33039
Genesee,26,409361
Gladwin,26,25289
Gogebic,26,15414
Grand Traverse,26,91746
Gratiot,26,41067
Hillsdale,26,45830
Houghton,26,36360
Huron,26,31543
Ingham,26,289564
Ionia,26,64176
Iosco,26,25247
Iron,26,11212
Isabella,26,70775
Jackson,26,158913
Kalamazoo,26,261573
Kalkaska,26,17463
Kent,26,643140
Keweenaw,26,2130
Lake,26,11763
Lapeer,26,88202
Leelanau,26,21639
Lenawee,26,98474
Livingston,26,188482
Luce,26,6364
Mackinac,26,10817
Macomb,26,868704
Manistee,26,24444
Marquette,26,66939
Mason,26,28884
Mecosta,26,43264
Menominee,26,23234
Midland,26,83389
Missaukee,26,15006
Monroe,26,149699
Montcalm,26,63209
Montmorency,26,9261
Muskegon,26,173043
Newaygo,26,48142
Oakland,26,1250843
Oceana,26,26417
Ogemaw,26,20928
Ontonagon,26,5968
Osceola,26,23232
Oscoda,26,8277
Otsego,26,24397
Ottawa,26,284034
Presque Isle,26,12797
Roscommon,26,23877
Saginaw,26,192778
St. Clair,26,159566
St. Joseph,26,60897
Sanilac,26,41376
Schoolcraft,26,8069
Shiawassee,26,68493
Tuscola,26,53250
Van Buren,26,75272
Washtenaw,26,365961
Wayne,26,1761382
Wexford,26,33111
Aitkin,27,15834
Anoka,27,347431
Becker,27,33773
Beltrami,27,46117
Benton,27,39779
Big Stone,27,5016
Blue Earth,27,66322
Brown,27,25211
Carlton,27,35540
Carver,27,100416
Cass,27,29022
Chippewa,27,12010
Chisago,27,54727
Clay,27,62801
Clearwater,27,8812
Cook,27,5311
Cottonwood,27,11372
Crow Wing,27,63855
Dakota,27,418201
Dodge,27,20582
Douglas,27,37203
Faribault,27,13896
Fillmore,27,20888
Freeborn,27,30526
Goodhue,27,46217
Grant,27,5938
Hennepin,27,1235478
Houston,27,18663
Hubbard,27,20862
Isanti,27,38974
Itasca,27,45203
Jackson,27,10047
Kanabec,27,16004
Kandiyohi,27,42658
Kittson,27,4337
Koochiching,27,12644
Lac qui Parle,27,6773
Lake,27,10569
Lake of the Woods,27,3809
Le Sueur,27,27983
Lincoln,27,5707
Lyon,27,25839
McLeod,27,35825
Mahnomen,27,5506
Marshall,27,9392
